Afghanistan,33,65
Albania,41,20
Algeria,28,3
Andorra,42.5,1.5
Angola,-12.5,18.5
Antigua and Barbuda,17.05,-61.8
Argentina,-34,-64
Armenia,40,45
Australia,-27,133
Austria,47.33333333,13.33333333
Azerbaijan,40.5,47.5
Bahrain,26,50.55
Bangladesh,24,90
Barbados,13.16666666,-59.53333333
Belarus,53,28
Belgium,50.83333333,4
Belize,17.25,-88.75
Benin,9.5,2.25
Bhutan,27.5,90.5
Bolivia,-17,-65
Bosnia and Herzegovina,44,18
Botswana,-22,24
Brazil,-10,-55
Brunei,4.5,114.6666667
Bulgaria,43,25
Burkina Faso,13,-2
Burundi,-3.5,30
Cabo Verde,16,-24
Cambodia,13,105
Cameroon,6,12
Canada,60,-95
Central African Republic,7,21
Chad,15,19
Chile,-30,-71
China,35,105
Colombia,4,-72
Comoros,-12.16666666,44.25
Congo,-1,15
Costa Rica,10,-84
Côte d'Ivoire,8,-5
Croatia,45.16666666,15.5
Cuba,21.5,-80
Cyprus,35,33
Czech Republic,49.75,15.5
Dem. People's Rep. Korea,40,127
Dem. Rep. Congo,0,25
Denmark,56,10
Djibouti,11.5,43
Dominica,15.41666666,-61.33333333
Dominican Republic,19,-70.66666666
Ecuador,-2,-77.5
Egypt,27,30
El Salvador,13.83333333,-88.91666666
Equatorial Guinea,2,10
Eritrea,15,39
Estonia,59,26
Eswatini,-26.5,31.5
Ethiopia,8,38
Fiji,-18,175
Finland,64,26
France,46,2
Gabon,-1,11.75
Georgia,42,43.5
Germany,51,9
Ghana,8,-2
Greece,39,22
Grenada,12.11666666,-61.66666666
Guatemala,15.5,-90.25
Guinea,11,-10
Guinea-Bissau,12,-15
Guyana,5,-59
Haiti,19,-72.41666666
Honduras,15,-86.5
Hungary,47,20
Iceland,65,-18
India,20,77
Indonesia,-5,120
Iran,32,53
Iraq,33,44
Ireland,53,-8
Israel,31.5,34.75
Italy,42.83333333,12.83333333
Jamaica,18.25,-77.5
Japan,36,138
Jordan,31,36
Kazakhstan,48,68
Kenya,1,38
Kiribati,1.41666666,173
Korea,37,127.5
Kuwait,29.5,45.75
Kyrgyz Republic,41,75
Lao PDR,18,105
Latvia,57,25
Lebanon,33.83333333,35.83333333
Lesotho,-29.5,28.5
Liberia,6.5,-9.5
Libya,25,17
Liechtenstein,47.26666666,9.53333333
Lithuania,56,24
Luxembourg,49.75,6.16666666
Madagascar,-20,47
Malawi,-13.5,34
Malaysia,2.5,112.5
Maldives,3.25,73
Mali,17,-4
Malta,35.83333333,14.58333333
Marshall Islands,9,168
Mauritania,20,-12
Mauritius,-20.28333333,57.55
Mexico,23,-102
Micronesia,6.91666666,158.25
Moldova,47,29
Monaco,43.73333333,7.4
Mongolia,46,105
Montenegro,42.5,19.3
Morocco,32,-5
Mozambique,-18.25,35
Myanmar,22,98
Namibia,-22,17
Nauru,-0.53333333,166.9166667
Nepal,28,84
Netherlands,52.5,5.75
New Zealand,-41,174
Nicaragua,13,-85
Niger,16,8
Nigeria,10,8
North Macedonia,41.83333333,22
Norway,62,10
Oman,21,57
Pakistan,30,70
Palau,7.5,134.5
Panama,9,-80
Papua New Guinea,-6,147
Paraguay,-23,-58
Peru,-10,-76
Philippines,13,122
Poland,52,20
Portugal,39.5,-8
Qatar,25.5,51.25
Romania,46,25
Russia,60,100
Rwanda,-2,30
Samoa,-13.58333333,-172.3333333
San Marino,43.76666666,12.41666666
São Tomé and Principe,1,7
Saudi Arabia,25,45
Senegal,14,-14
Serbia,44,21
Seychelles,-4.58333333,55.66666666
Sierra Leone,8.5,-11.5
Singapore,1.36666666,103.8
Slovak Republic,48.66666666,19.5
Slovenia,46.11666666,14.81666666
Solomon Islands,-8,159
Somalia,10,49
South Africa,-29,24
South Sudan,7,30
Spain,40,-4
Sri Lanka,7,81
St. Kitts and Nevis,17.33333333,-62.75
St. Lucia,13.88333333,-60.96666666
St. Vincent and the Grenadines,13.25,-61.2
Sudan,15,30
Suriname,4,-56
Sweden,62,15
Switzerland,47,8
Syrian Arab Republic,35,38
Tajikistan,39,71
Tanzania,-6,35
Thailand,15,100
The Bahamas,24.25,-76
The Gambia,13.46666666,-16.56666666
Timor-Leste,-8.83333333,125.9166667
Togo,8,1.16666666
Tonga,-20,-175
Trinidad and Tobago,11,-61
Tunisia,34,9
Turkey,39,35
Turkmenistan,40,60
Tuvalu,-8,178
Uganda,1,32
Ukraine,49,32
United Arab Emirates,24,54
United Kingdom,54,-2
United States,38,-97
Uruguay,-33,-56
Uzbekistan,41,64
Vanuatu,-16,167
Venezuela,8,-66
Vietnam,16.16666666,107.8333333
West Bank and Gaza,31.9,35.2
Yemen,15,48
Zambia,-15,30
Zimbabwe,-20,30
